,Unique,Overlap,All,ribotype
0,145,56,103,1
1,236,24,153,2
2,155,14,157,5
3,208,19,171,14
4,142,11,143,15
5,89,10,158,17
6,208,12,173,20
7,133,15,148,27
8,98,13,168,78
9,135,14,159,106
