id,ribotype
70,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-7', 'CloneAT-8', 'AI5', 'CloneAT-9', '126']"
71,"['444', '063', '434']"
72,['519']
73,"['444', '063']"
74,['176']
75,['027']
76,['066']
77,"['247', '441/3']"
78,['247']
79,"['029', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
80,['247']
81,"['063/1', '033', '126']"
82,['063/1']
83,['434']
84,['029']
85,['542']
86,['StrainCD196']
87,"['029', '066', '078', 'CloneA-15', '078ecdc', '251', '063/1', '434', '012', '078/4', '441/3', '066/2', '524', '519', '484', '045/1', '001', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
88,['247']
89,"['176', '029', 'Strain027', 'CloneAT-3', 'AI-56', '063/1', '434', '444', '012', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
90,['176']
91,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
92,['CloneB-14']
93,['078']
94,['029']
95,['247']
96,['247']
97,"['063/1', '033', '126']"
98,['434']
99,['063/1']
100,['029']
101,['542']
102,"['029', '078', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
103,['027']
104,['066']
105,"['247', '441/3']"
106,['012']
107,"['029', '066', '078', '078ecdc', 'CloneB-14', '251', '063/1', '434', '444', '012', '078/4', '066/2', '045', '484', '045/1', '033', '247', '542', '027', 'CloneAT-7', 'CloneAT-8', '126']"
108,['StrainCD196']
109,"['176', '029', 'Strain027', 'CloneA-15', 'CloneAT-3', 'AI-56', '434', '444', '012', '441/3', 'CloneA-6', 'CloneAT-16', '524', '519', '001', 'CloneAT-14', '063', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneB-12', 'AI5', 'CloneAT-9']"
110,['519']
111,['247']
112,['027']
113,['066']
114,"['247', '441/3']"
115,['247']
116,"['029', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
117,['247']
118,"['063/1', '033', '126']"
119,['063/1']
120,['434']
121,['029']
122,['063/1']
123,"['CloneB-11', 'StrainCD196', '524', '441/3', '029', '484', '519', '001', '033', 'Strain630', '247', '434', '542', '444', '012', '027', 'CloneA-15', '126']"
124,['524']
125,"['CloneB-11', 'StrainCD196', '441/3', '029', '484', '519', '001', '033', 'Strain630', '247', '434', '542', '444', '012', '027', 'CloneA-15', '126']"
126,['063/1']
127,['029']
128,"['027', '519', '441/3']"
129,"['066', '045/1', '542', '441', '012']"
130,"['066', '251', 'CloneAT-7', '063/1', '078', 'CloneA-6', '126']"
131,['484']
132,"['AI-56', '444', '063']"
133,"['001', '063']"
134,"['519', '029', 'AI-56', '063', '247', '542', 'Strain027', '444', '012']"
135,"['CloneAT-12', '176', '029', 'CloneAT-11', 'CloneAT-14', 'CloneAT-1', '247', 'CloneAT-8', '434', '542', 'CloneB-12', '441', '012', '444']"
136,"['029', 'Strain630']"
137,['029']
138,"['012', '524']"
139,"['CloneAT-8', 'StrainCD196', '441/3', '519']"
140,"['247', '542']"
141,"['CloneB-11', '484', '033', '247', '063/1', '434', '444', 'CloneA-15', '126']"
142,['542']
143,['247']
144,"['176', 'StrainCD196', '519', '012', 'CloneA-15']"
145,"['444', 'CloneAT-16', 'CloneAT-8', 'CloneAT-7']"
146,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
147,['StrainCD196']
148,['542']
149,['033']
150,"['StrainCD196', '524', '441/3', '029', '519', '001', 'Strain630', '434', '542', '012', '027']"
151,['StrainCD196']
152,"['176', 'StrainCD196', '519', 'CloneB-12', '012', 'CloneA-15']"
153,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-7', 'CloneAT-8', 'AI5', 'CloneAT-9', '126']"
154,['126']
155,['CloneAT-11']
156,['484']
157,['444']
158,"['444', '441/3']"
159,['063/1']
160,"['251', '045/1', '033', '078', '078ecdc', '078/4', '126']"
161,['066/2']
162,['045/1']
163,['066']
164,['StrainCD196']
165,['CloneAT-11']
166,"['176', 'StrainCD196', '519', 'CloneB-12', '012', 'CloneA-15']"
167,['029']
168,['029']
169,['StrainCD196']
170,"['CloneB-14', '524']"
171,['542']
172,"['519', '066', '251', '045/1', 'CloneAT-7', '027', '063/1', '078', '542', '441', '012', '441/3', 'CloneA-6', '126']"
173,['484']
174,"['176', '029', 'Strain027', 'AI-56', '434', '444', '012', '519', '001', 'CloneAT-14', '063', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneAT-11', 'CloneAT-8', 'CloneB-12']"
175,"['029', 'Strain630']"
176,['029']
177,"['StrainCD196', '524', '519', '247', 'CloneAT-8', '542', '012', '441/3']"
178,['444']
179,['247']
180,"['524', '519', '001', '434', '542']"
181,['029']
182,"['CloneB-11', '066', '251', '045/1', '033', '063/1', '078', '012', '078/4', 'CloneA-15', '126']"
183,['029']
184,['012']
185,"['CloneB-11', '484', '033', '063/1', '434', '444', 'CloneA-15', '126']"
186,"['StrainCD196', '441/3', '029', 'Strain630', '012', '027']"
187,"['434', '519']"
188,['519']
189,"['029', '066', 'Strain027', 'CloneA-15', '078ecdc', 'CloneAT-3', '251', '063/1', '434', '444', '012', '066/2', 'CloneAT-16', '045', '524', '519', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9']"
190,['542']
191,"['CloneAT-12', '524', '519', '029', 'CloneAT-11', 'CloneAT-14', '434', '542', 'CloneAT-1']"
192,['434']
193,"['066/2', '029', '066', '251', '045/1', '033', '063/1', '078', '012', '078/4']"
194,['AI5']
195,"['Strain630', '542']"
196,['524']
197,"['441', '012']"
198,['484']
199,"['066', '066/2', '045']"
200,"['176', '029', 'Strain027', 'CloneB-14', 'CloneAT-3', 'AI-56', '434', '444', '012', 'CloneA-6', 'CloneAT-16', '524', '519', '484', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9']"
201,"['066/2', '066', '251', '045/1', '033', '078', '126', '078/4', '078ecdc']"
202,['001']
203,['126']
204,['247']
205,"['251', '063/1']"
206,['434']
207,['012']
208,"['176', '029', '066', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
209,"['066', '251', '045/1', '063/1', '078']"
210,"['AI-56', '444', '063']"
211,['063/1']
