"accession","source_code","ribotype"
"SRR5410545","SRR",78
"SRR5410544","SRR",78
"SRR5410543","SRR",78
"SRR5410542","SRR",78
"SRR5410541","SRR",78
"SRR5410540","SRR",78
"SRR5410539","SRR",78
"SRR5410538","SRR",78
"SRR5410537","SRR",78
"SRR5410536","SRR",78
"SRR5410535","SRR",78
"SRR5410534","SRR",78
"SRR5410533","SRR",78
"SRR5410532","SRR",78
"SRR5410531","SRR",78
"SRR5410530","SRR",78
"SRR5410529","SRR",78
"SRR5410528","SRR",78
"SRR5410527","SRR",78
"SRR5410526","SRR",78
"SRR5410525","SRR",78
"SRR5410524","SRR",78
"SRR5410523","SRR",78
"SRR5410522","SRR",78
"SRR5410521","SRR",78
"SRR5410520","SRR",78
"SRR5410519","SRR",78
"SRR5410518","SRR",78
"SRR5410517","SRR",78
"SRR5410516","SRR",78
"SRR5410515","SRR",78
"SRR5410514","SRR",78
"SRR5410513","SRR",78
"SRR5410512","SRR",78
"SRR5410511","SRR",78
"SRR5410510","SRR",78
"SRR5410509","SRR",78
"SRR5410508","SRR",78
"SRR5410507","SRR",78
"SRR5410506","SRR",78
"SRR5410505","SRR",78
"SRR5410504","SRR",78
"SRR5410503","SRR",78
"SRR5410502","SRR",78
"SRR5410501","SRR",78
"SRR5410500","SRR",78
"SRR5410499","SRR",78
"SRR5410498","SRR",78
"SRR5410497","SRR",78
"SRR5410496","SRR",78
"SRR5410495","SRR",78
"SRR5410494","SRR",78
"SRR5410493","SRR",78
"SRR5410492","SRR",78
"SRR5410491","SRR",78
"SRR5410490","SRR",78
"SRR5410489","SRR",78
"SRR5410488","SRR",78
"SRR5410487","SRR",78
"SRR5410486","SRR",78
"SRR5410485","SRR",78
"SRR5410484","SRR",78
"SRR5410483","SRR",78
"SRR5410482","SRR",78
"SRR5410481","SRR",78
"SRR5410480","SRR",78
"SRR5410479","SRR",78
"SRR5410478","SRR",78
"SRR5410477","SRR",78
"SRR5410476","SRR",78
"SRR5410475","SRR",78
"SRR5410474","SRR",78
