id,count
0,69
1,94
2,81
3,2
4,6
5,69
6,2
7,89
8,93
9,13
10,35
11,2
12,91
13,2
14,94
15,2
16,54
17,9
18,82
19,3
20,3
21,69
22,31
23,63
24,94
25,70
26,2
27,3
28,63
29,2
30,90
31,67
32,22
33,23
34,15
35,2
36,42
37,9
38,9
39,90
40,13
41,94
42,2
43,12
44,7
45,74
46,135
47,79
48,12
49,3
50,2
51,2
52,91
53,20
54,22
55,2
56,2
57,42
58,50
59,3
60,23
61,6
62,4
63,2
64,47
65,2
66,23
67,23
68,94
69,95
70,54
71,2
72,7
73,82
74,3
75,58
76,2
77,3
78,22
79,22
80,69
81,69
82,2
83,18
84,8
85,17
86,3
87,62
88,2
89,3
90,2
91,31
92,64
93,71
94,18
95,94
96,18
97,70
98,73
99,14
100,2
101,77
102,13
103,3
104,62
105,2
106,4
107,17
108,58
109,48
110,47
111,6
112,2
113,23
114,3
115,63
116,2
117,23
118,91
119,4
120,3
121,67
122,3
123,82
124,7
125,21
126,23
127,2
128,10
129,81
130,22
131,22
132,20
133,2
134,23
135,43
136,2
137,59
138,45
139,6
140,4
141,23
142,15
143,2
144,42
145,9
146,9
147,21
148,86
149,91
150,14
151,6
152,7
153,63
154,31
155,23
156,23
157,18
158,93
159,22
160,15
161,20
162,2
163,12
164,7
165,21
166,4
167,70
168,27
169,108
170,22
171,57
172,22
173,2
174,91
175,3
176,20
177,19
178,3
179,2
180,7
181,86
182,70
183,65
184,2
185,11
186,2
187,59
188,2
189,15
190,3
191,3
192,18
193,69
194,5
195,5
196,83
197,42
198,51
199,23
200,6
201,4
202,2
203,47
204,2
205,92
206,15
207,3
208,19
209,2
210,21
211,3
212,23
213,94
214,64
215,95
216,7
217,82
218,3
219,2
220,58
221,2
222,3
223,31
224,22
225,13
226,9
227,61
228,94
229,82
230,5
231,2
232,3
233,23
234,3
235,72
236,52
237,6
238,69
239,67
240,9
241,5
242,13
243,95
244,18
245,3
246,8
247,17
248,17
249,3
250,3
251,19
252,62
253,2
254,128
255,3
256,2
257,31
258,64
259,2
260,61
261,3
262,3
263,2
264,17
265,23
266,3
267,19
268,72
269,92
270,2
271,18
272,70
273,20
274,12
275,69
276,3
277,14
278,2
279,76
280,13
281,3
282,62
283,2
284,4
285,17
286,59
287,48
288,2
289,45
290,2
291,47
292,17
293,10
294,6
295,9
296,2
297,6
298,92
299,2
300,3
301,22
302,2
303,2
304,13
305,52
306,15
307,23
308,23
309,21
310,3
311,63
312,2
313,23
314,90
315,4
316,16
317,22
318,3
319,64
320,82
321,23
322,157
323,2
324,16
325,7
326,21
327,23
328,2
329,89
330,3
331,6
332,5
333,2
334,31
335,3
336,13
337,81
338,2
339,22
340,86
341,61
342,63
343,31
344,2
345,7
346,22
347,22
348,20
349,23
350,23
351,94
352,7
353,85
354,17
355,23
356,63
357,5
358,64
359,47
360,6
361,4
362,23
363,15
364,2
365,40
366,2
367,9
368,23
369,173
370,94
371,2
372,35
373,2
374,3
375,22
376,9
377,2
378,61
379,41
380,26
381,2
382,23
383,21
384,86
385,23
386,91
387,85
388,14
389,82
390,5
391,6
392,7
393,63
394,31
395,23
396,23
397,3
398,31
399,22
400,8
401,23
402,63
403,93
404,22
405,15
406,20
407,2
408,2
409,68
410,23
411,7
412,18
413,93
414,22
415,3
416,69
417,27
418,107
419,22
420,3
421,22
422,2
423,3
424,19
425,19
426,3
427,7
428,4
429,22
430,3
431,4
432,63
433,89
434,2
435,67
436,2
437,87
438,2
439,2
440,22
441,2
442,10
443,81
444,87
445,2
446,6
447,5
448,2
449,2
450,13
451,52
452,20
453,7
454,8
455,84
456,2
457,22
458,86
459,87
460,20
461,2
462,5
463,20
464,82
465,42
466,93
467,92
468,3
469,19
470,84
471,93
472,3
473,19
474,94
475,22
476,91
477,3
478,3
479,82
480,7
481,92
482,48
483,82
484,92
485,23
486,15
487,3
488,3
489,95
490,3
491,19
492,21
493,89
494,3
495,19
496,93
497,94
498,7
499,94
500,64
501,23
502,85
503,95
504,2
505,3
506,15
507,71
508,2
509,67
510,2
511,3
512,31
513,22
514,20
515,93
516,13
517,9
518,3
519,2
520,82
521,2
522,6
523,2
524,2
525,2
526,13
527,94
528,2
529,54
530,67
531,23
532,9
533,5
534,13
535,95
536,3
537,95
538,68
539,2
540,62
541,3
542,18
543,18
544,70
545,2
546,6
547,48
548,23
549,3
550,82
551,7
552,23
553,13
554,23
555,23
556,22
557,7
558,3
559,21
560,3
561,9
562,3
563,17
564,127
565,2
566,60
567,3
568,3
569,17
570,23
571,2
572,45
573,2
574,17
575,10
576,6
577,92
578,3
579,15
580,157
581,16
582,92
583,2
584,34
585,15
586,61
587,67
588,23
589,4
590,22
591,4
592,89
593,19
594,93
595,3
596,23
597,2
598,61
599,3
600,3
601,22
602,3
603,69
604,2
605,70
606,48
607,23
608,17
609,4
610,19
611,22
612,3
613,23
614,19
615,19
616,2
617,45
618,23
619,3
620,45
621,15
622,7
623,104
624,2
625,20
626,94
627,72
628,23
629,3
630,2
631,18
632,23
