"X.","Enterobase","Paper","Overall"
"","(N=3423)","(N=4655)","(N=8078)"
"ribotype_class","","",""
"  128","0 (0%)","1 (0.0%)","1 (0.0%)"
"  129","1 (0.0%)","0 (0%)","1 (0.0%)"
"  131","1 (0.0%)","4 (0.1%)","5 (0.1%)"
"  132","0 (0%)","1 (0.0%)","1 (0.0%)"
"  137","8 (0.2%)","0 (0%)","8 (0.1%)"
"  138","1 (0.0%)","0 (0%)","1 (0.0%)"
"  140","0 (0%)","4 (0.1%)","4 (0.0%)"
"  142","2 (0.1%)","0 (0%)","2 (0.0%)"
"  147","2 (0.1%)","0 (0%)","2 (0.0%)"
"  149","1 (0.0%)","0 (0%)","1 (0.0%)"
"  150","3 (0.1%)","0 (0%)","3 (0.0%)"
"  153","1 (0.0%)","7 (0.2%)","8 (0.1%)"
"  154","1 (0.0%)","0 (0%)","1 (0.0%)"
"  156","1 (0.0%)","0 (0%)","1 (0.0%)"
"  157","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  158","1 (0.0%)","0 (0%)","1 (0.0%)"
"  159","1 (0.0%)","3 (0.1%)","4 (0.0%)"
"  167","0 (0%)","1 (0.0%)","1 (0.0%)"
"  169","2 (0.1%)","1 (0.0%)","3 (0.0%)"
"  173","1 (0.0%)","0 (0%)","1 (0.0%)"
"  174","0 (0%)","4 (0.1%)","4 (0.0%)"
"  175","1 (0.0%)","6 (0.1%)","7 (0.1%)"
"  176","14 (0.4%)","21 (0.5%)","35 (0.4%)"
"  181","1 (0.0%)","2 (0.0%)","3 (0.0%)"
"  183","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  190","0 (0%)","1 (0.0%)","1 (0.0%)"
"  193","2 (0.1%)","9 (0.2%)","11 (0.1%)"
"  194","1 (0.0%)","0 (0%)","1 (0.0%)"
"  198","1 (0.0%)","0 (0%)","1 (0.0%)"
"  199","0 (0%)","1 (0.0%)","1 (0.0%)"
"  201","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  202","0 (0%)","2 (0.0%)","2 (0.0%)"
"  205","3 (0.1%)","0 (0%)","3 (0.0%)"
"  207","0 (0%)","5 (0.1%)","5 (0.1%)"
"  212","1 (0.0%)","0 (0%)","1 (0.0%)"
"  216","7 (0.2%)","8 (0.2%)","15 (0.2%)"
"  218","1 (0.0%)","0 (0%)","1 (0.0%)"
"  220","17 (0.5%)","6 (0.1%)","23 (0.3%)"
"  224","1 (0.0%)","0 (0%)","1 (0.0%)"
"  225","1 (0.0%)","0 (0%)","1 (0.0%)"
"  226","1 (0.0%)","0 (0%)","1 (0.0%)"
"  228","0 (0%)","1 (0.0%)","1 (0.0%)"
"  236","3 (0.1%)","0 (0%)","3 (0.0%)"
"  238","1 (0.0%)","0 (0%)","1 (0.0%)"
"  239","2 (0.1%)","0 (0%)","2 (0.0%)"
"  241","5 (0.1%)","0 (0%)","5 (0.1%)"
"  244","9 (0.3%)","20 (0.4%)","29 (0.4%)"
"  248","1 (0.0%)","2 (0.0%)","3 (0.0%)"
"  249","0 (0%)","3 (0.1%)","3 (0.0%)"
"  250","1 (0.0%)","0 (0%)","1 (0.0%)"
"  251","1 (0.0%)","0 (0%)","1 (0.0%)"
"  255","2 (0.1%)","3 (0.1%)","5 (0.1%)"
"  258","5 (0.1%)","11 (0.2%)","16 (0.2%)"
"  262","1 (0.0%)","0 (0%)","1 (0.0%)"
"  270","1 (0.0%)","0 (0%)","1 (0.0%)"
"  274","0 (0%)","1 (0.0%)","1 (0.0%)"
"  276","0 (0%)","2 (0.0%)","2 (0.0%)"
"  277","4 (0.1%)","2 (0.0%)","6 (0.1%)"
"  283","3 (0.1%)","2 (0.0%)","5 (0.1%)"
