"accession","source_code","ribotype"
"ERR928272","ERR",27
"ERR928271","ERR",27
"ERR928260","ERR",27
"ERR928252","ERR",27
"ERR928247","ERR",27
"ERR928236","ERR",27
"ERR928234","ERR",27
"ERR928228","ERR",27
"ERR928307","ERR",27
"ERR928275","ERR",27
"ERR928312","ERR",27
"ERR928302","ERR",27
"ERR928299","ERR",27
"ERR928297","ERR",27
"ERR928296","ERR",27
"ERR928295","ERR",27
"ERR928284","ERR",27
"ERR928282","ERR",27
"ERR928281","ERR",27
"ERR928280","ERR",27
"ERR928273","ERR",27
"ERR928268","ERR",27
"ERR928265","ERR",27
"ERR026830","ERR",27
"ERR026833","ERR",27
"ERR026834","ERR",27
"ERR026837","ERR",27
"ERR026839","ERR",27
"ERR026840","ERR",27
"ERR026858","ERR",27
"ERR026859","ERR",27
"ERR026861","ERR",27
"ERR026862","ERR",27
"ERR026863","ERR",27
"ERR026865","ERR",27
"ERR026866","ERR",27
"ERR026847","ERR",27
"ERR026871","ERR",27
"ERR026873","ERR",27
"ERR026875","ERR",27
"ERR026876","ERR",27
"ERR026877","ERR",27
"ERR026879","ERR",27
"ERR026362","ERR",27
"ERR026354","ERR",27
"ERR026356","ERR",27
"ERR026359","ERR",27
"ERR026391","ERR",27
"ERR026392","ERR",27
"ERR026393","ERR",27
"ERR026395","ERR",27
"ERR026396","ERR",27
"ERR026399","ERR",27
"ERR026400","ERR",27
"ERR026418","ERR",27
"ERR026421","ERR",27
"ERR026423","ERR",27
"ERR026427","ERR",27
"ERR026404","ERR",27
"ERR026405","ERR",27
"ERR026408","ERR",27
"ERR026409","ERR",27
"ERR026410","ERR",27
"ERR026411","ERR",27
"ERR026378","ERR",27
"ERR026379","ERR",27
"ERR026381","ERR",27
"ERR026386","ERR",27
"ERR026389","ERR",27
"ERR026365","ERR",27
"ERR026366","ERR",27
"ERR026368","ERR",27
"ERR026370","ERR",27
"ERR026372","ERR",27
"ERR026374","ERR",27
"ERR025343","ERR",27
"ERR025345","ERR",27
"ERR025347","ERR",27
"ERR025348","ERR",27
"ERR025351","ERR",27
"ERR025352","ERR",27
"ERR025353","ERR",27
"ERR025354","ERR",27
"ERR028721","ERR",27
"ERR028722","ERR",27
"ERR028726","ERR",27
"ERR028728","ERR",27
"ERR028729","ERR",27
"ERR028730","ERR",27
"ERR028731","ERR",27
"ERR028732","ERR",27
"ERR108233","ERR",27
"ERR108223","ERR",27
"ERR108217","ERR",27
"ERR108215","ERR",27
"ERR108211","ERR",27
"ERR024655","ERR",27
"ERR024656","ERR",27
"ERR024657","ERR",27
"ERR024660","ERR",27
"ERR024662","ERR",27
"ERR024663","ERR",27
"ERR024664","ERR",27
"ERR024665","ERR",27
"ERR024666","ERR",27
"ERR024643","ERR",27
"ERR024646","ERR",27
"ERR024647","ERR",27
"ERR024648","ERR",27
"ERR024649","ERR",27
"ERR024650","ERR",27
"ERR024652","ERR",27
"ERR024653","ERR",27
"ERR030387","ERR",27
"ERR030388","ERR",27
"ERR030389","ERR",27
"ERR030390","ERR",27
"ERR030392","ERR",27
"ERR030394","ERR",27
"ERR030375","ERR",27
"ERR030378","ERR",27
"ERR030293","ERR",27
"ERR030284","ERR",27
"ERR030286","ERR",27
"ERR030287","ERR",27
"ERR030292","ERR",27
"ERR030318","ERR",27
"ERR030320","ERR",27
"ERR030311","ERR",27
"ERR030312","ERR",27
"ERR030316","ERR",27
"ERR030301","ERR",27
"ERR030299","ERR",27
"ERR030307","ERR",27
"ERR030304","ERR",27
"ERR030297","ERR",27
"ERR030322","ERR",27
"ERR030323","ERR",27
"ERR030326","ERR",27
"ERR030327","ERR",27
"ERR030328","ERR",27
"ERR030329","ERR",27
"ERR030333","ERR",27
"ERR030337","ERR",27
"ERR030340","ERR",27
"ERR030342","ERR",27
"ERR030344","ERR",27
"ERR030352","ERR",27
"ERR030353","ERR",27
"ERR030355","ERR",27
"ERR031688","ERR",27
"ERR031689","ERR",27
"ERR031693","ERR",27
"ERR031700","ERR",27
"ERR031702","ERR",27
"ERR031703","ERR",27
"ERR031711","ERR",27
"ERR031676","ERR",27
"ERR031677","ERR",27
"ERR031678","ERR",27
"ERR031679","ERR",27
"ERR031684","ERR",27
"ERR031685","ERR",27
"ERR029481","ERR",27
"ERR029482","ERR",27
"ERR029483","ERR",27
"ERR029490","ERR",27
"ERR029488","ERR",27
"ERR029517","ERR",27
"ERR029513","ERR",27
"ERR029515","ERR",27
"ERR029533","ERR",27
"ERR029534","ERR",27
"ERR029535","ERR",27
"ERR029536","ERR",27
"ERR029539","ERR",27
"ERR029540","ERR",27
"ERR029542","ERR",27
"ERR029497","ERR",27
"ERR029498","ERR",27
"ERR029500","ERR",27
"ERR029501","ERR",27
"ERR029503","ERR",27
"ERR029504","ERR",27
"ERR029505","ERR",27
"ERR029494","ERR",27
"ERR029495","ERR",27
"ERR029525","ERR",27
"ERR029526","ERR",27
"ERR029528","ERR",27
"ERR029531","ERR",27
"ERR029523","ERR",27
"ERR045743","ERR",27
