,accession,source_code,ribotype,c1
789,ERR026869,ERR,27.0,
790,ERR026870,ERR,27.0,
791,ERR026871,ERR,27.0,
792,ERR026872,ERR,27.0,
793,ERR026873,ERR,27.0,
794,ERR026874,ERR,27.0,
795,ERR026875,ERR,27.0,
796,ERR026876,ERR,27.0,
797,ERR026877,ERR,27.0,
798,ERR026878,ERR,27.0,
799,ERR026879,ERR,27.0,
800,ERR026880,ERR,27.0,
801,ERR026362,ERR,27.0,
802,ERR026363,ERR,27.0,
803,ERR026354,ERR,27.0,
804,ERR026355,ERR,27.0,
805,ERR026356,ERR,27.0,
806,ERR026358,ERR,27.0,
807,ERR026359,ERR,27.0,
808,ERR026391,ERR,27.0,
809,ERR026392,ERR,27.0,
810,ERR026393,ERR,27.0,
811,ERR026394,ERR,27.0,
812,ERR026395,ERR,27.0,
813,ERR026396,ERR,27.0,
814,ERR026397,ERR,27.0,
815,ERR026398,ERR,27.0,
816,ERR026399,ERR,27.0,
817,ERR026400,ERR,27.0,
818,ERR026401,ERR,27.0,
819,ERR026417,ERR,27.0,
820,ERR026418,ERR,27.0,
821,ERR026420,ERR,27.0,
822,ERR026421,ERR,27.0,
823,ERR026422,ERR,27.0,
824,ERR026423,ERR,27.0,
825,ERR026424,ERR,27.0,
826,ERR026426,ERR,27.0,
827,ERR026427,ERR,27.0,
828,ERR026404,ERR,27.0,
829,ERR026405,ERR,27.0,
830,ERR026406,ERR,27.0,
831,ERR026407,ERR,27.0,
832,ERR026408,ERR,27.0,
833,ERR026409,ERR,27.0,
834,ERR026410,ERR,27.0,
835,ERR026411,ERR,27.0,
836,ERR026412,ERR,27.0,
837,ERR026413,ERR,27.0,
838,ERR026414,ERR,27.0,
839,ERR026415,ERR,27.0,
840,ERR026378,ERR,27.0,
841,ERR026379,ERR,27.0,
842,ERR026380,ERR,27.0,
843,ERR026381,ERR,27.0,
844,ERR026382,ERR,27.0,
845,ERR026383,ERR,27.0,
846,ERR026384,ERR,27.0,
847,ERR026386,ERR,27.0,
848,ERR026387,ERR,27.0,
849,ERR026388,ERR,27.0,
850,ERR026389,ERR,27.0,
851,ERR026365,ERR,27.0,
852,ERR026366,ERR,27.0,
853,ERR026367,ERR,27.0,
854,ERR026368,ERR,27.0,
855,ERR026369,ERR,27.0,
856,ERR026370,ERR,27.0,
857,ERR026371,ERR,27.0,
858,ERR026372,ERR,27.0,
859,ERR026374,ERR,27.0,
860,ERR026375,ERR,27.0,
861,ERR026376,ERR,27.0,
862,ERR025343,ERR,27.0,
863,ERR025344,ERR,27.0,
864,ERR025345,ERR,27.0,
865,ERR025346,ERR,27.0,
866,ERR025347,ERR,27.0,
867,ERR025348,ERR,27.0,
868,ERR025351,ERR,27.0,
869,ERR025352,ERR,27.0,
870,ERR025353,ERR,27.0,
871,ERR025354,ERR,27.0,
872,ERR028721,ERR,27.0,
873,ERR028722,ERR,27.0,
874,ERR028724,ERR,27.0,
875,ERR028725,ERR,27.0,
876,ERR028726,ERR,27.0,
877,ERR028727,ERR,27.0,
878,ERR028728,ERR,27.0,
879,ERR028729,ERR,27.0,
880,ERR028730,ERR,27.0,
881,ERR028731,ERR,27.0,
882,ERR028732,ERR,27.0,
883,ERR126246,ERR,27.0,
884,ERR108233,ERR,27.0,
885,ERR108230,ERR,27.0,
886,ERR108229,ERR,27.0,
887,ERR108226,ERR,27.0,
888,ERR108223,ERR,27.0,
889,ERR108221,ERR,27.0,
890,ERR108218,ERR,27.0,
891,ERR108217,ERR,27.0,
892,ERR108215,ERR,27.0,
893,ERR108211,ERR,27.0,
894,ERR024655,ERR,27.0,
895,ERR024656,ERR,27.0,
896,ERR024657,ERR,27.0,
897,ERR024659,ERR,27.0,
898,ERR024660,ERR,27.0,
899,ERR024661,ERR,27.0,
900,ERR024662,ERR,27.0,
901,ERR024663,ERR,27.0,
902,ERR024664,ERR,27.0,
903,ERR024665,ERR,27.0,
904,ERR024666,ERR,27.0,
905,ERR024642,ERR,27.0,
906,ERR024643,ERR,27.0,
907,ERR024646,ERR,27.0,
908,ERR024647,ERR,27.0,
909,ERR024648,ERR,27.0,
910,ERR024649,ERR,27.0,
911,ERR024650,ERR,27.0,
912,ERR024651,ERR,27.0,
913,ERR024652,ERR,27.0,
914,ERR024653,ERR,27.0,
915,ERR008616,ERR,27.0,
916,ERR008619,ERR,27.0,
917,ERR030387,ERR,27.0,
918,ERR030388,ERR,27.0,
919,ERR030389,ERR,27.0,
920,ERR030390,ERR,27.0,
921,ERR030391,ERR,27.0,
922,ERR030392,ERR,27.0,
923,ERR030393,ERR,27.0,
924,ERR030394,ERR,27.0,
925,ERR030396,ERR,27.0,
926,ERR030398,ERR,27.0,
927,ERR030374,ERR,27.0,
928,ERR030375,ERR,27.0,
929,ERR030376,ERR,27.0,
930,ERR030377,ERR,27.0,
931,ERR030378,ERR,27.0,
932,ERR030293,ERR,27.0,
933,ERR030294,ERR,27.0,
934,ERR030283,ERR,27.0,
935,ERR030288,ERR,27.0,
936,ERR030284,ERR,27.0,
937,ERR030285,ERR,27.0,
938,ERR030286,ERR,27.0,
939,ERR030287,ERR,27.0,
940,ERR030290,ERR,27.0,
941,ERR030292,ERR,27.0,
942,ERR030291,ERR,27.0,
943,ERR030318,ERR,27.0,
944,ERR030320,ERR,27.0,
945,ERR030315,ERR,27.0,
946,ERR030311,ERR,27.0,
947,ERR030312,ERR,27.0,
948,ERR030316,ERR,27.0,
949,ERR030298,ERR,27.0,
950,ERR030301,ERR,27.0,
951,ERR030302,ERR,27.0,
952,ERR030306,ERR,27.0,
953,ERR030299,ERR,27.0,
954,ERR030300,ERR,27.0,
955,ERR030307,ERR,27.0,
956,ERR030304,ERR,27.0,
957,ERR030305,ERR,27.0,
958,ERR030296,ERR,27.0,
959,ERR030297,ERR,27.0,
960,ERR030322,ERR,27.0,
961,ERR030323,ERR,27.0,
962,ERR030324,ERR,27.0,
963,ERR030325,ERR,27.0,
964,ERR030326,ERR,27.0,
965,ERR030327,ERR,27.0,
966,ERR030328,ERR,27.0,
967,ERR030329,ERR,27.0,
968,ERR030333,ERR,27.0,
969,ERR030335,ERR,27.0,
970,ERR030336,ERR,27.0,
971,ERR030337,ERR,27.0,
972,ERR030339,ERR,27.0,
973,ERR030340,ERR,27.0,
974,ERR030341,ERR,27.0,
975,ERR030342,ERR,27.0,
976,ERR030344,ERR,27.0,
977,ERR030346,ERR,27.0,
978,ERR034223,ERR,27.0,
979,ERR030352,ERR,27.0,
980,ERR030353,ERR,27.0,
981,ERR030354,ERR,27.0,
982,ERR030355,ERR,27.0,
983,ERR031687,ERR,27.0,
984,ERR031688,ERR,27.0,
985,ERR031689,ERR,27.0,
986,ERR031690,ERR,27.0,
987,ERR031691,ERR,27.0,
988,ERR031692,ERR,27.0,
989,ERR031693,ERR,27.0,
990,ERR031697,ERR,27.0,
991,ERR031698,ERR,27.0,
992,ERR031700,ERR,27.0,
993,ERR031701,ERR,27.0,
994,ERR031702,ERR,27.0,
995,ERR031703,ERR,27.0,
996,ERR031704,ERR,27.0,
997,ERR031707,ERR,27.0,
998,ERR031711,ERR,27.0,
999,ERR031675,ERR,27.0,
1000,ERR031676,ERR,27.0,
1001,ERR031677,ERR,27.0,
1002,ERR031678,ERR,27.0,
1003,ERR031679,ERR,27.0,
1004,ERR031680,ERR,27.0,
1005,ERR031681,ERR,27.0,
1006,ERR031683,ERR,27.0,
1007,ERR031684,ERR,27.0,
1008,ERR031685,ERR,27.0,
1009,ERR029481,ERR,27.0,
1010,ERR029482,ERR,27.0,
1011,ERR029483,ERR,27.0,
1012,ERR029490,ERR,27.0,
1013,ERR029484,ERR,27.0,
1014,ERR029485,ERR,27.0,
1015,ERR029488,ERR,27.0,
1016,ERR029491,ERR,27.0,
1017,ERR029492,ERR,27.0,
1018,ERR029517,ERR,27.0,
1019,ERR029518,ERR,27.0,
1020,ERR029507,ERR,27.0,
1021,ERR029511,ERR,27.0,
1022,ERR029512,ERR,27.0,
1023,ERR029513,ERR,27.0,
1024,ERR029514,ERR,27.0,
1025,ERR029515,ERR,27.0,
1026,ERR029516,ERR,27.0,
1027,ERR029537,ERR,27.0,
1028,ERR029538,ERR,27.0,
1029,ERR029533,ERR,27.0,
1030,ERR029534,ERR,27.0,
1031,ERR029535,ERR,27.0,
1032,ERR029536,ERR,27.0,
1033,ERR029539,ERR,27.0,
1034,ERR029540,ERR,27.0,
1035,ERR029542,ERR,27.0,
1036,ERR029544,ERR,27.0,
1037,ERR029496,ERR,27.0,
1038,ERR029497,ERR,27.0,
1039,ERR029498,ERR,27.0,
1040,ERR029499,ERR,27.0,
1041,ERR029500,ERR,27.0,
1042,ERR029501,ERR,27.0,
1043,ERR029503,ERR,27.0,
1044,ERR029504,ERR,27.0,
1045,ERR029505,ERR,27.0,
1046,ERR029494,ERR,27.0,
1047,ERR029495,ERR,27.0,
1048,ERR029520,ERR,27.0,
1049,ERR029525,ERR,27.0,
1050,ERR029526,ERR,27.0,
1051,ERR029527,ERR,27.0,
1052,ERR029528,ERR,27.0,
1053,ERR029531,ERR,27.0,
1054,ERR029523,ERR,27.0,
1055,ERR045757,ERR,27.0,
1056,ERR045743,ERR,27.0,
1057,ERR045749,ERR,27.0,
1058,ERR044848,ERR,27.0,
1059,ERR044847,ERR,27.0,
1060,ERR044845,ERR,27.0,
1061,ERR044844,ERR,27.0,
1062,ERR044843,ERR,27.0,
1063,ERR044842,ERR,27.0,
1064,ERR044841,ERR,27.0,
1065,ERR044840,ERR,27.0,
1066,ERR044839,ERR,27.0,
1067,ERR044838,ERR,27.0,
1068,ERR044837,ERR,27.0,
1069,ERR044835,ERR,27.0,
1070,ERR044834,ERR,27.0,
1071,ERR044833,ERR,27.0,
1072,ERR044832,ERR,27.0,
1073,ERR044831,ERR,27.0,
1074,ERR044830,ERR,27.0,
1075,ERR044829,ERR,27.0,
1076,ERR044828,ERR,27.0,
1077,ERR044827,ERR,27.0,
1078,ERR044826,ERR,27.0,
1079,ERR044825,ERR,27.0,
1080,ERR044818,ERR,27.0,
1081,ERR044817,ERR,27.0,
1082,ERR044816,ERR,27.0,
1083,ERR044815,ERR,27.0,
1084,ERR044814,ERR,27.0,
1085,ERR044812,ERR,27.0,
1086,ERR044808,ERR,27.0,
1087,ERR044807,ERR,27.0,
1088,ERR044806,ERR,27.0,
1089,ERR044805,ERR,27.0,
1090,ERR044804,ERR,27.0,
1091,ERR044803,ERR,27.0,
1092,ERR044802,ERR,27.0,
1093,ERR044801,ERR,27.0,
1094,ERR248749,ERR,27.0,
1095,ERR248748,ERR,27.0,
1096,ERR248739,ERR,27.0,
1097,ERR248738,ERR,27.0,
1098,ERR248716,ERR,27.0,
1099,ERR248776,ERR,27.0,
1100,ERR248769,ERR,27.0,
1101,ERR248747,ERR,27.0,
1102,ERR248746,ERR,27.0,
1103,ERR248737,ERR,27.0,
1104,ERR248736,ERR,27.0,
1105,ERR248714,ERR,27.0,
1106,ERR248713,ERR,27.0,
1107,ERR248775,ERR,27.0,
1108,ERR248768,ERR,27.0,
1109,ERR248754,ERR,27.0,
1110,ERR248753,ERR,27.0,
1111,ERR248752,ERR,27.0,
1112,ERR248735,ERR,27.0,
1113,ERR248734,ERR,27.0,
1114,ERR248733,ERR,27.0,
1115,ERR248767,ERR,27.0,
1116,ERR248766,ERR,27.0,
1117,ERR248712,ERR,27.0,
1118,ERR248711,ERR,27.0,
1119,ERR248774,ERR,27.0,
1120,ERR248773,ERR,27.0,
1121,ERR248765,ERR,27.0,
1122,ERR248732,ERR,27.0,
1123,ERR248731,ERR,27.0,
1124,ERR248764,ERR,27.0,
1125,ERR248763,ERR,27.0,
1126,ERR248762,ERR,27.0,
1127,ERR248761,ERR,27.0,
1128,ERR248730,ERR,27.0,
1129,ERR248729,ERR,27.0,
1130,ERR248728,ERR,27.0,
1131,ERR248727,ERR,27.0,
1132,ERR248726,ERR,27.0,
1133,ERR248725,ERR,27.0,
1134,ERR248724,ERR,27.0,
1135,ERR248723,ERR,27.0,
1136,ERR248760,ERR,27.0,
1137,ERR248745,ERR,27.0,
1138,ERR248744,ERR,27.0,
1139,ERR248722,ERR,27.0,
1140,ERR248759,ERR,27.0,
1141,ERR248743,ERR,27.0,
1142,ERR248742,ERR,27.0,
1143,ERR248721,ERR,27.0,
1144,ERR248720,ERR,27.0,
1145,ERR248758,ERR,27.0,
1146,ERR248757,ERR,27.0,
1147,ERR248756,ERR,27.0,
1148,ERR248755,ERR,27.0,
1149,ERR248719,ERR,27.0,
1150,ERR248772,ERR,27.0,
1151,ERR248778,ERR,27.0,
1152,ERR248771,ERR,27.0,
1153,ERR248751,ERR,27.0,
1154,ERR248750,ERR,27.0,
1155,ERR248741,ERR,27.0,
1156,ERR248740,ERR,27.0,
1157,ERR248718,ERR,27.0,
1158,ERR248717,ERR,27.0,
1159,ERR248777,ERR,27.0,
1160,ERR248770,ERR,27.0,
1161,SRR5945685,SRR,27.0,
1162,SRR6042359,SRR,27.0,
1163,SRR6042363,SRR,27.0,
1164,SRR6042369,SRR,27.0,
1165,SRR7309137,SRR,27.0,
1166,SRR7309147,SRR,27.0,
1167,SRR7309153,SRR,27.0,
1168,SRR7309162,SRR,27.0,
1169,SRR7309164,SRR,27.0,
1170,SRR7309168,SRR,27.0,
1171,SRR7309177,SRR,27.0,
1172,SRR7309185,SRR,27.0,
1173,SRR7309202,SRR,27.0,
1174,SRR7309208,SRR,27.0,
1175,SRR7309209,SRR,27.0,
1176,SRR7309222,SRR,27.0,
1177,SRR7309237,SRR,27.0,
1178,SRR7309238,SRR,27.0,
1179,SRR7308886,SRR,27.0,
1180,SRR7308889,SRR,27.0,
1181,SRR7308890,SRR,27.0,
1182,SRR7308909,SRR,27.0,
1183,SRR7308911,SRR,27.0,
1184,SRR7308913,SRR,27.0,
1185,SRR7308922,SRR,27.0,
1186,SRR7308928,SRR,27.0,
1187,SRR7308942,SRR,27.0,
1188,SRR7308949,SRR,27.0,
1189,SRR7308950,SRR,27.0,
1190,SRR7308951,SRR,27.0,
1191,SRR7308954,SRR,27.0,
1192,SRR7308968,SRR,27.0,
1193,SRR7308984,SRR,27.0,
1194,SRR7308991,SRR,27.0,
1195,SRR7309001,SRR,27.0,
1196,SRR7309008,SRR,27.0,
1197,SRR7309015,SRR,27.0,
1198,SRR7309019,SRR,27.0,
1199,SRR7309021,SRR,27.0,
1200,SRR7309024,SRR,27.0,
1201,SRR7309026,SRR,27.0,
1202,SRR7309031,SRR,27.0,
1203,SRR7309035,SRR,27.0,
1204,SRR7309043,SRR,27.0,
1205,SRR7309047,SRR,27.0,
1206,SRR7309050,SRR,27.0,
1207,SRR7309055,SRR,27.0,
1208,SRR7309056,SRR,27.0,
1209,SRR7309058,SRR,27.0,
1210,SRR7309063,SRR,27.0,
1211,SRR7309064,SRR,27.0,
1212,SRR7309065,SRR,27.0,
1213,SRR7309066,SRR,27.0,
1214,SRR7309067,SRR,27.0,
1215,SRR7309081,SRR,27.0,
1216,SRR7309092,SRR,27.0,
1217,SRR7309101,SRR,27.0,
1218,SRR7309106,SRR,27.0,
1219,SRR7309108,SRR,27.0,
1220,SRR7309112,SRR,27.0,
1221,SRR7309119,SRR,27.0,
1222,SRR7309121,SRR,27.0,
1223,SRR7309131,SRR,27.0,
1224,SRR7308632,SRR,27.0,
1225,SRR7308646,SRR,27.0,
1226,SRR7308650,SRR,27.0,
1227,SRR7308657,SRR,27.0,
1228,SRR7308661,SRR,27.0,
1229,SRR7308668,SRR,27.0,
1230,SRR7308669,SRR,27.0,
1231,SRR7308673,SRR,27.0,
1232,SRR7308675,SRR,27.0,
1233,SRR7308682,SRR,27.0,
1234,SRR7308691,SRR,27.0,
1235,SRR7308696,SRR,27.0,
1236,SRR7308703,SRR,27.0,
1237,SRR7308705,SRR,27.0,
1238,SRR7308716,SRR,27.0,
1239,SRR7308738,SRR,27.0,
1240,SRR7308742,SRR,27.0,
1241,SRR7308746,SRR,27.0,
1242,SRR7308747,SRR,27.0,
1243,SRR7308753,SRR,27.0,
1244,SRR7308756,SRR,27.0,
1245,SRR7308757,SRR,27.0,
1246,SRR7308760,SRR,27.0,
1247,SRR7308762,SRR,27.0,
1248,SRR7308779,SRR,27.0,
1249,SRR7308781,SRR,27.0,
1250,SRR7308790,SRR,27.0,
1251,SRR7308792,SRR,27.0,
1252,SRR7308798,SRR,27.0,
1253,SRR7308799,SRR,27.0,
1254,SRR7308800,SRR,27.0,
1255,SRR7308808,SRR,27.0,
1256,SRR7308813,SRR,27.0,
1257,SRR7308834,SRR,27.0,
1258,SRR7308835,SRR,27.0,
1259,SRR7308840,SRR,27.0,
1260,SRR7308841,SRR,27.0,
1261,SRR7308843,SRR,27.0,
1262,SRR7308844,SRR,27.0,
1263,SRR7308849,SRR,27.0,
1264,SRR7308857,SRR,27.0,
1265,SRR7308864,SRR,27.0,
1266,SRR7308874,SRR,27.0,
1267,SRR7308879,SRR,27.0,
1268,SRR6890724,SRR,27.0,
1269,SRR6890726,SRR,27.0,
1270,SRR6890728,SRR,27.0,
1271,SRR6890729,SRR,27.0,
1272,SRR6890730,SRR,27.0,
1273,SRR6890731,SRR,27.0,
1274,SRR6890732,SRR,27.0,
1275,SRR6890733,SRR,27.0,
1276,SRR6890735,SRR,27.0,
1277,SRR6890736,SRR,27.0,
1278,SRR6890738,SRR,27.0,
1279,SRR6890739,SRR,27.0,
1280,SRR6890741,SRR,27.0,
1281,SRR6890742,SRR,27.0,
1282,SRR6890743,SRR,27.0,
1283,SRR6890744,SRR,27.0,
1284,SRR6890745,SRR,27.0,
1285,SRR6890746,SRR,27.0,
1286,SRR6890747,SRR,27.0,
1287,ERR3611150,ERR,27.0,
1288,ERR3473917,ERR,27.0,
1289,ERR3473915,ERR,27.0,
1290,ERR3473907,ERR,27.0,
1291,ERR3473880,ERR,27.0,
1292,ERR3473874,ERR,27.0,
1293,ERR3473861,ERR,27.0,
1294,ERR3473851,ERR,27.0,
1295,ERR3473847,ERR,27.0,
1296,ERR3473841,ERR,27.0,
1297,ERR3473828,ERR,27.0,
1298,ERR3473824,ERR,27.0,
1299,ERR3465619,ERR,27.0,
1300,ERR3465613,ERR,27.0,
1301,ERR3465611,ERR,27.0,
1302,ERR3465590,ERR,27.0,
1303,ERR3465584,ERR,27.0,
1304,ERR3465578,ERR,27.0,
1305,ERR3465577,ERR,27.0,
1306,ERR3465569,ERR,27.0,
1307,ERR3465566,ERR,27.0,
1308,ERR3465552,ERR,27.0,
1309,ERR3465548,ERR,27.0,
1310,ERR3465534,ERR,27.0,
1311,ERR3465521,ERR,27.0,
1312,ERR3465519,ERR,27.0,
1313,ERR3465494,ERR,27.0,
1314,ERR3465480,ERR,27.0,
1315,ERR3465462,ERR,27.0,
1316,ERR3465439,ERR,27.0,
1317,ERR3465431,ERR,27.0,
1318,ERR3465379,ERR,27.0,
1319,ERR3465363,ERR,27.0,
1320,ERR3465340,ERR,27.0,
1321,ERR126264,ERR,26.0,
1322,ERR3473853,ERR,26.0,
1323,ERR3473859,ERR,24.0,
1324,ERR142362,ERR,23.0,
1325,ERR126268,ERR,23.0,
1326,ERR126266,ERR,23.0,
1327,ERR232375,ERR,23.0,
1328,ERR3473796,ERR,23.0,
1329,ERR3465571,ERR,23.0,
1330,ERR3465546,ERR,23.0,
1331,ERR3465545,ERR,23.0,
1332,ERR3465489,ERR,23.0,
1333,ERR3465481,ERR,23.0,
1334,ERR3465472,ERR,23.0,
1335,ERR3465464,ERR,23.0,
1336,ERR3465450,ERR,23.0,
1337,ERR3465396,ERR,23.0,
1338,ERR3465387,ERR,23.0,
1339,ERR126283,ERR,22.0,
1340,ERR126248,ERR,20.0,
1341,SRR7309214,SRR,20.0,
1342,SRR7309231,SRR,20.0,
1343,SRR7308927,SRR,20.0,
1344,SRR7308953,SRR,20.0,
1345,SRR7308969,SRR,20.0,
1346,SRR7308977,SRR,20.0,
1347,SRR7309103,SRR,20.0,
1348,SRR7309116,SRR,20.0,
1349,SRR7308693,SRR,20.0,
1350,SRR7308750,SRR,20.0,
1351,SRR7308759,SRR,20.0,
1352,SRR7308778,SRR,20.0,
1353,SRR7308860,SRR,20.0,
1354,ERR3611153,ERR,20.0,
1355,ERR3611152,ERR,20.0,
1356,ERR2232525,ERR,20.0,
1357,ERR2232524,ERR,20.0,
1358,ERR2232523,ERR,20.0,
1359,ERR2232521,ERR,20.0,
1360,ERR2232520,ERR,20.0,
1361,ERR3473832,ERR,20.0,
1362,ERR3473784,ERR,20.0,
1363,ERR3465579,ERR,20.0,
1364,ERR3465551,ERR,20.0,
1365,ERR3465523,ERR,20.0,
1366,ERR3465510,ERR,20.0,
1367,ERR3465488,ERR,20.0,
1368,ERR3465444,ERR,20.0,
1369,ERR3465388,ERR,20.0,
1370,ERR126281,ERR,19.0,
1371,ERR126250,ERR,18.0,
1372,SRR7309150,SRR,18.0,
1373,SRR7309160,SRR,18.0,
1374,SRR7309172,SRR,18.0,
1375,SRR7309216,SRR,18.0,
1376,SRR7309227,SRR,18.0,
1377,SRR7308908,SRR,18.0,
1378,SRR7308910,SRR,18.0,
1379,SRR7308945,SRR,18.0,
1380,SRR7308978,SRR,18.0,
1381,SRR7308982,SRR,18.0,
1382,SRR7309074,SRR,18.0,
1383,SRR7309096,SRR,18.0,
1384,SRR7308744,SRR,18.0,
1385,SRR7308787,SRR,18.0,
1386,SRR7308793,SRR,18.0,
1387,SRR7308794,SRR,18.0,
1388,SRR7308872,SRR,18.0,
1389,ERR2215997,ERR,18.0,
1390,ERR3466762,ERR,18.0,
1391,ERR3466759,ERR,18.0,
1392,ERR3473909,ERR,18.0,
1393,ERR3473896,ERR,18.0,
1394,ERR387394,ERR,17.0,
1395,ERR788995,ERR,17.0,
1396,ERR788994,ERR,17.0,
1397,ERR788993,ERR,17.0,
1398,ERR788992,ERR,17.0,
1399,ERR788991,ERR,17.0,
1400,ERR788990,ERR,17.0,
1401,ERR788989,ERR,17.0,
1402,ERR788988,ERR,17.0,
1403,ERR788987,ERR,17.0,
1404,ERR788986,ERR,17.0,
1405,ERR788985,ERR,17.0,
1406,ERR788984,ERR,17.0,
1407,ERR788983,ERR,17.0,
1408,ERR788982,ERR,17.0,
1409,ERR788981,ERR,17.0,
1410,ERR788980,ERR,17.0,
1411,ERR788979,ERR,17.0,
1412,ERR788978,ERR,17.0,
1413,ERR788977,ERR,17.0,
1414,ERR788976,ERR,17.0,
1415,ERR788975,ERR,17.0,
1416,ERR788974,ERR,17.0,
1417,ERR788973,ERR,17.0,
1418,ERR788972,ERR,17.0,
1419,ERR788971,ERR,17.0,
1420,ERR788970,ERR,17.0,
1421,ERR788969,ERR,17.0,
1422,ERR788968,ERR,17.0,
1423,ERR788967,ERR,17.0,
1424,ERR788966,ERR,17.0,
1425,ERR788965,ERR,17.0,
1426,ERR788964,ERR,17.0,
1427,ERR788963,ERR,17.0,
1428,ERR788962,ERR,17.0,
1429,ERR788961,ERR,17.0,
1430,ERR788960,ERR,17.0,
1431,ERR788959,ERR,17.0,
1432,ERR126245,ERR,17.0,
1433,ERR1346483,ERR,17.0,
1434,ERR1346482,ERR,17.0,
1435,ERR1346480,ERR,17.0,
1436,ERR1346478,ERR,17.0,
1437,ERR1346476,ERR,17.0,
1438,ERR1346475,ERR,17.0,
1439,ERR1346474,ERR,17.0,
1440,ERR1346473,ERR,17.0,
1441,ERR1346471,ERR,17.0,
1442,ERR1346470,ERR,17.0,
1443,ERR1346469,ERR,17.0,
1444,ERR1346468,ERR,17.0,
1445,ERR1346467,ERR,17.0,
1446,ERR1346466,ERR,17.0,
1447,ERR1346465,ERR,17.0,
1448,ERR1346464,ERR,17.0,
1449,ERR1346463,ERR,17.0,
1450,ERR1346462,ERR,17.0,
1451,ERR1346461,ERR,17.0,
1452,ERR1346460,ERR,17.0,
1453,ERR1346459,ERR,17.0,
1454,ERR1346458,ERR,17.0,
1455,ERR1346457,ERR,17.0,
1456,ERR1346456,ERR,17.0,
1457,ERR1346455,ERR,17.0,
1458,ERR1346454,ERR,17.0,
1459,ERR1346453,ERR,17.0,
1460,ERR1346452,ERR,17.0,
1461,ERR1346451,ERR,17.0,
1462,ERR1346450,ERR,17.0,
1463,ERR1346449,ERR,17.0,
1464,ERR1346448,ERR,17.0,
1465,ERR1346447,ERR,17.0,
1466,ERR1346446,ERR,17.0,
1467,ERR1346445,ERR,17.0,
1468,ERR1346444,ERR,17.0,
1469,ERR1346443,ERR,17.0,
1470,ERR1346442,ERR,17.0,
1471,ERR1346441,ERR,17.0,
1472,ERR1346440,ERR,17.0,
1473,ERR1346439,ERR,17.0,
1474,ERR1346438,ERR,17.0,
1475,ERR1346437,ERR,17.0,
1476,ERR1346436,ERR,17.0,
1477,ERR1346435,ERR,17.0,
1478,ERR1346434,ERR,17.0,
1479,ERR1346433,ERR,17.0,
1480,ERR1346432,ERR,17.0,
1481,ERR1346431,ERR,17.0,
1482,ERR1346430,ERR,17.0,
1483,ERR1346429,ERR,17.0,
1484,ERR1346428,ERR,17.0,
1485,ERR1346427,ERR,17.0,
1486,ERR1346426,ERR,17.0,
1487,ERR1346425,ERR,17.0,
1488,ERR1346424,ERR,17.0,
1489,ERR1346423,ERR,17.0,
1490,ERR1346422,ERR,17.0,
1491,ERR1346421,ERR,17.0,
1492,ERR1346420,ERR,17.0,
1493,ERR1346419,ERR,17.0,
1494,ERR1346418,ERR,17.0,
1495,ERR1346417,ERR,17.0,
1496,ERR1346416,ERR,17.0,
1497,ERR1346415,ERR,17.0,
1498,ERR1346414,ERR,17.0,
1499,ERR1346413,ERR,17.0,
1500,ERR1346412,ERR,17.0,
1501,ERR1346411,ERR,17.0,
1502,ERR1346410,ERR,17.0,
1503,ERR1346409,ERR,17.0,
1504,ERR1346408,ERR,17.0,
1505,ERR1346407,ERR,17.0,
1506,ERR1346406,ERR,17.0,
1507,ERR1346405,ERR,17.0,
1508,ERR1346404,ERR,17.0,
1509,ERR1346403,ERR,17.0,
1510,ERR1346402,ERR,17.0,
1511,ERR1346401,ERR,17.0,
1512,ERR1346400,ERR,17.0,
1513,ERR1346399,ERR,17.0,
1514,ERR1346398,ERR,17.0,
1515,ERR1346397,ERR,17.0,
1516,ERR1346396,ERR,17.0,
1517,ERR1346395,ERR,17.0,
1518,ERR1346394,ERR,17.0,
1519,ERR1346393,ERR,17.0,
1520,ERR1346392,ERR,17.0,
1521,ERR1346391,ERR,17.0,
1522,ERR1346390,ERR,17.0,
1523,ERR1346389,ERR,17.0,
1524,ERR1346388,ERR,17.0,
1525,ERR1346387,ERR,17.0,
1526,ERR1346386,ERR,17.0,
1527,ERR1346385,ERR,17.0,
1528,ERR1346384,ERR,17.0,
1529,ERR1346382,ERR,17.0,
1530,ERR1346381,ERR,17.0,
1531,ERR1346379,ERR,17.0,
1532,ERR1346378,ERR,17.0,
1533,ERR1346376,ERR,17.0,
1534,ERR1346375,ERR,17.0,
1535,ERR1346374,ERR,17.0,
1536,ERR1346369,ERR,17.0,
1537,ERR1346367,ERR,17.0,
1538,ERR1346366,ERR,17.0,
1539,ERR1346363,ERR,17.0,
1540,ERR1346362,ERR,17.0,
1541,ERR1346360,ERR,17.0,
1542,ERR1346359,ERR,17.0,
1543,ERR1346357,ERR,17.0,
1544,ERR1346356,ERR,17.0,
1545,ERR1346355,ERR,17.0,
1546,ERR1346354,ERR,17.0,
1547,ERR1346353,ERR,17.0,
1548,ERR1346352,ERR,17.0,
1549,ERR1346351,ERR,17.0,
1550,ERR1346350,ERR,17.0,
1551,ERR1346349,ERR,17.0,
1552,ERR1346348,ERR,17.0,
1553,ERR1346347,ERR,17.0,
1554,ERR1346346,ERR,17.0,
1555,ERR1346345,ERR,17.0,
1556,ERR1346344,ERR,17.0,
1557,ERR1346342,ERR,17.0,
