,accession,source_code,ribotype,c1
178,ERR3473898,ERR,106.0,
179,ERR3473894,ERR,106.0,
180,ERR3473882,ERR,106.0,
181,ERR3473867,ERR,106.0,
182,ERR3473856,ERR,106.0,
183,ERR3473855,ERR,106.0,
184,ERR3473840,ERR,106.0,
185,ERR3473833,ERR,106.0,
186,ERR3473821,ERR,106.0,
187,ERR3473819,ERR,106.0,
188,ERR3473768,ERR,106.0,
189,ERR3465533,ERR,106.0,
190,ERR2215975,ERR,103.0,
191,ERR3473786,ERR,103.0,
192,ERR2215984,ERR,102.0,
193,ERR3473759,ERR,94.0,
194,ERR3473753,ERR,90.0,
195,ERR3473765,ERR,87.0,
196,ERR3465403,ERR,87.0,
197,ERR3465606,ERR,84.0,
198,ERR3465493,ERR,84.0,
199,ERR3473776,ERR,83.0,
200,ERR3473801,ERR,81.0,
201,ERR3465369,ERR,81.0,
202,ERR833671,ERR,78.0,
203,ERR833667,ERR,78.0,
204,ERR126270,ERR,78.0,
205,ERR257014,ERR,78.0,
206,ERR257013,ERR,78.0,
207,ERR257023,ERR,78.0,
208,ERR257020,ERR,78.0,
209,ERR257017,ERR,78.0,
210,ERR257011,ERR,78.0,
211,ERR257085,ERR,78.0,
212,ERR257084,ERR,78.0,
213,ERR257008,ERR,78.0,
214,ERR257007,ERR,78.0,
215,ERR257006,ERR,78.0,
216,ERR257005,ERR,78.0,
217,ERR257002,ERR,78.0,
218,ERR257001,ERR,78.0,
219,ERR256989,ERR,78.0,
220,ERR256987,ERR,78.0,
221,ERR256983,ERR,78.0,
222,ERR256982,ERR,78.0,
223,ERR256981,ERR,78.0,
224,ERR256980,ERR,78.0,
225,ERR257009,ERR,78.0,
226,ERR256988,ERR,78.0,
227,ERR256986,ERR,78.0,
228,ERR256985,ERR,78.0,
229,ERR256984,ERR,78.0,
230,ERR256914,ERR,78.0,
231,ERR256913,ERR,78.0,
232,ERR256912,ERR,78.0,
233,ERR256908,ERR,78.0,
234,ERR256907,ERR,78.0,
235,ERR256906,ERR,78.0,
236,ERR256905,ERR,78.0,
237,ERR256904,ERR,78.0,
238,ERR256903,ERR,78.0,
239,ERR256902,ERR,78.0,
240,ERR256896,ERR,78.0,
241,ERR256895,ERR,78.0,
242,ERR256894,ERR,78.0,
243,ERR256911,ERR,78.0,
