id,count
0,1
1,1
2,69
3,1
4,1
5,1
6,94
7,81
8,1
9,2
10,6
11,1
12,1
13,69
14,1
15,2
16,89
17,1
18,1
19,93
20,1
21,13
22,1
23,31
24,2
25,91
26,1
27,1
28,1
29,2
30,94
31,2
32,54
33,9
34,1
35,82
36,3
37,3
38,1
39,68
40,1
41,1
42,1
43,31
44,63
45,1
46,1
47,94
48,70
49,1
50,1
51,1
52,1
53,2
54,3
55,62
56,1
57,1
58,2
59,90
60,1
61,66
62,1
63,1
64,1
65,1
66,22
67,23
68,14
69,2
70,34
71,1
72,9
73,9
74,1
75,1
76,90
77,1
78,1
79,1
80,13
81,94
82,1
83,1
84,2
85,1
86,12
87,1
88,1
89,7
90,1
91,1
92,58
93,79
94,68
95,12
96,1
97,3
98,2
99,2
100,91
101,20
102,1
103,22
104,2
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,42
116,50
117,1
118,3
119,23
120,5
121,4
122,2
123,45
124,2
125,23
126,23
127,1
128,94
129,1
130,1
131,95
132,54
133,2
134,7
135,1
136,82
137,3
138,1
139,1
140,49
141,2
142,3
143,22
144,1
145,22
146,1
147,1
148,68
149,1
150,1
151,1
152,68
153,1
154,2
155,17
156,1
157,8
158,1
159,15
160,1
161,3
162,1
163,61
164,2
165,3
166,2
167,31
168,64
169,1
170,71
171,1
172,17
173,1
174,94
175,1
176,17
177,70
178,1
179,62
180,14
181,2
182,1
183,55
184,12
185,2
186,1
187,1
188,1
189,61
190,1
191,2
192,4
193,16
194,49
195,1
196,45
197,45
198,1
199,5
200,1
201,2
202,23
203,3
204,62
205,1
206,1
207,2
208,23
209,91
210,4
211,1
212,3
213,1
214,66
215,1
216,1
217,3
218,82
219,7
220,1
221,20
222,1
223,23
224,2
225,1
226,10
227,1
228,81
229,22
230,1
231,1
232,1
233,22
234,20
235,1
236,2
237,1
238,23
239,43
240,2
241,49
242,43
243,5
244,4
245,23
246,1
247,14
248,2
249,34
250,1
251,9
252,1
253,1
254,9
255,1
256,21
257,86
258,1
259,1
260,1
261,91
262,1
263,1
264,1
265,1
266,1
267,14
268,1
269,1
270,6
271,7
272,63
273,31
274,23
275,1
276,23
277,1
278,17
279,93
280,1
281,1
282,22
283,1
284,14
285,1
286,20
287,1
288,1
289,1
290,2
291,1
292,12
293,1
294,1
295,7
296,1
297,21
298,1
299,4
300,55
301,25
302,65
303,18
304,54
305,1
306,1
307,1
308,22
309,2
310,91
311,3
312,20
313,1
314,1
315,19
316,3
317,2
318,7
319,86
320,1
321,69
322,1
323,1
324,64
325,2
326,1
327,1
328,10
329,2
330,1
331,50
332,2
333,1
334,14
335,3
336,3
337,17
338,69
339,1
340,5
341,5
342,83
343,42
344,51
345,1
346,1
347,1
348,23
349,5
350,1
351,4
352,2
353,45
354,2
355,1
356,92
357,14
358,3
359,15
360,2
361,1
362,1
363,21
364,1
365,1
366,3
367,1
368,23
369,1
370,1
371,94
372,64
373,1
374,95
375,1
376,1
377,7
378,1
379,82
380,3
381,2
382,1
383,1
384,1
385,49
386,2
387,3
388,31
389,22
390,1
391,13
392,9
393,52
394,1
395,1
396,94
397,1
398,82
399,5
400,2
401,3
402,23
403,3
404,72
405,52
406,6
407,1
408,68
409,1
410,1
411,1
412,1
413,66
414,1
415,1
416,1
417,9
418,5
419,13
420,1
421,95
422,17
423,3
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,8
432,1
433,15
434,1
435,15
436,3
437,1
438,1
439,3
440,19
441,1
442,1
443,61
444,2
445,78
446,1
447,1
448,1
449,3
450,2
451,31
452,64
453,1
454,1
455,1
456,2
457,1
458,60
459,1
460,3
461,3
462,1
463,2
464,16
465,1
466,23
467,1
468,3
469,19
470,72
471,1
472,1
473,1
474,1
475,1
476,92
477,2
478,1
479,17
480,70
481,1
482,20
483,11
484,69
485,3
486,14
487,2
488,1
489,55
490,1
491,12
492,2
493,1
494,1
495,1
496,61
497,1
498,2
499,4
500,16
501,50
502,1
503,45
504,2
505,36
506,2
507,45
508,1
509,1
510,16
511,10
512,5
513,9
514,2
515,1
516,1
517,5
518,1
519,1
520,1
521,92
522,1
523,2
524,3
525,22
526,1
527,1
528,2
529,2
530,13
531,52
532,14
533,23
534,23
535,21
536,3
537,62
538,1
539,1
540,2
541,23
542,1
543,90
544,4
545,1
546,15
547,1
548,22
549,3
550,1
551,63
552,1
553,1
554,82
555,23
556,85
557,2
558,1
559,15
560,7
561,1
562,1
563,20
564,23
565,1
566,2
567,89
568,3
569,1
570,1
571,1
572,1
573,1
574,6
575,5
576,2
577,27
578,3
579,1
580,1
581,13
582,81
583,1
584,2
585,1
586,1
587,22
588,1
589,86
590,1
591,60
592,1
593,63
594,31
595,2
596,1
597,7
598,1
599,22
600,1
601,22
602,20
603,23
604,1
605,1
606,23
607,1
608,1
609,94
610,1
611,7
612,85
613,16
614,1
615,23
616,1
617,1
618,61
619,3
620,52
621,45
622,5
623,4
624,23
625,1
626,14
627,1
628,2
629,32
630,2
631,1
632,9
633,23
634,85
635,94
636,1
637,1
638,2
639,30
640,1
641,1
642,2
643,1
644,3
645,22
646,9
647,1
648,1
649,2
650,61
651,33
652,25
653,1
654,1
655,1
656,2
657,1
658,23
659,21
660,86
661,1
662,1
663,1
664,23
665,91
666,1
667,1
668,1
669,1
670,1
671,85
672,14
673,82
674,1
675,5
676,6
677,7
678,1
679,63
680,31
681,23
682,23
683,3
684,1
685,1
686,31
687,22
688,8
689,1
690,23
691,1
692,63
693,1
694,93
695,1
696,1
697,22
698,1
699,1
700,14
701,1
702,20
703,1
704,2
705,2
706,68
707,1
708,23
709,7
710,1
711,17
712,93
713,1
714,1
715,22
716,1
717,1
718,3
719,55
720,25
721,1
722,64
723,18
724,3
725,1
726,1
727,1
728,22
729,1
730,2
731,3
732,1
733,19
734,1
735,19
736,3
737,7
738,4
739,22
740,1
741,3
742,1
743,4
744,62
745,1
746,1
747,89
748,2
749,1
750,1
751,1
752,66
753,1
754,2
755,1
756,87
757,2
758,1
759,1
760,2
761,1
762,22
763,2
764,10
765,81
766,1
767,1
768,87
769,2
770,6
771,5
772,1
773,1
774,1
775,1
776,2
777,2
778,13
779,52
780,20
781,1
782,1
783,7
784,1
785,8
786,84
787,1
788,2
789,22
790,86
791,1
792,1
793,1
794,87
795,20
796,2
797,5
798,1
799,20
800,1
801,82
802,1
803,42
804,93
805,1
806,92
807,1
808,3
809,1
810,19
811,84
812,1
