id,count
0,1
1,1
2,69
3,1
4,1
5,1
6,8
7,83
8,1
9,1
10,1
11,2
12,1
13,73
14,5
15,1
16,2
17,6
18,1
19,1
20,68
21,1
22,1
23,2
24,1
25,39
26,48
27,1
28,1
29,1
30,8
31,83
32,1
33,1
34,1
35,1
36,10
37,1
38,1
39,1
40,10
41,1
42,3
43,1
44,1
45,18
46,2
47,2
48,1
49,78
50,5
51,5
52,1
53,1
54,1
55,2
56,31
57,63
58,1
59,1
60,34
61,1
62,1
63,15
64,2
65,1
66,1
67,1
68,7
69,1
70,82
71,3
72,1
73,2
74,1
75,1
76,1
77,2
78,1
79,57
80,1
81,3
82,1
83,1
84,1
85,1
86,1
87,31
88,1
89,62
90,1
91,69
92,1
93,1
94,1
95,1
96,2
97,3
98,1
99,1
100,1
101,1
102,58
103,1
104,1
105,2
106,1
107,39
108,1
109,48
110,1
111,1
112,1
113,1
114,2
115,1
116,57
117,1
118,3
119,1
120,1
121,1
122,1
123,22
124,1
125,20
126,1
127,1
128,3
129,5
130,7
131,2
132,4
133,2
134,13
135,17
136,2
137,1
138,2
139,5
140,2
141,9
142,1
143,2
144,6
145,4
146,78
147,1
148,1
149,1
150,13
151,1
152,7
153,84
154,1
155,1
156,1
157,1
158,2
159,1
160,9
161,1
162,1
163,1
164,1
165,1
166,7
167,1
168,1
169,1
170,2
171,1
172,14
173,2
174,32
175,2
176,1
177,9
178,1
179,1
180,7
181,1
182,15
183,1
184,1
185,8
186,6
187,2
188,1
189,54
190,1
191,10
192,2
193,14
194,1
195,2
196,1
197,2
198,1
199,3
200,51
201,12
202,1
203,1
204,2
205,2
206,2
207,1
208,80
209,5
210,5
211,1
212,19
213,1
214,19
215,3
216,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,1
231,39
232,2
233,48
234,1
235,3
236,23
237,5
238,4
239,1
240,1
241,2
242,1
243,42
244,2
245,22
246,1
247,23
248,1
249,31
250,63
251,1
252,1
253,1
254,93
255,1
256,10
257,24
258,1
259,1
260,13
261,2
262,2
263,1
264,1
265,1
266,7
267,1
268,82
269,3
270,1
271,1
272,3
273,1
274,1
275,44
276,1
277,1
278,1
279,2
280,21
281,1
282,1
283,6
284,7
285,8
286,1
287,1
288,1
289,1
290,1
291,60
292,3
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,2
302,1
303,57
304,1
305,3
306,1
307,1
308,1
309,1
310,1
311,3
312,14
313,1
314,1
315,7
316,1
317,10
318,1
319,3
320,3
321,1
322,3
323,1
324,1
325,3
326,52
327,1
328,1
329,2
330,1
331,2
332,3
333,1
334,1
335,1
336,70
337,1
338,1
339,3
340,14
341,1
342,17
343,69
344,1
345,1
346,10
347,1
348,1
349,1
350,3
351,45
352,2
353,8
354,6
355,2
356,1
357,45
358,18
359,8
360,1
361,12
362,1
363,2
364,1
365,1
366,1
367,1
368,1
369,59
370,1
371,2
372,4
373,14
374,2
375,1
376,2
377,1
378,42
379,2
380,1
381,1
382,5
383,4
384,1
385,1
386,2
387,33
388,35
389,10
390,1
391,5
392,2
393,23
394,1
395,1
396,1
397,3
398,19
399,1
400,40
401,1
402,47
403,1
404,1
405,4
406,3
407,3
408,76
409,4
410,2
411,1
412,6
413,19
414,2
415,1
416,23
417,2
418,1
419,6
420,4
421,1
422,1
423,1
424,1
425,75
426,3
427,22
428,1
429,1
430,1
431,22
432,20
433,1
434,2
435,1
436,1
437,20
438,1
439,1
440,1
441,38
442,1
443,1
444,4
445,2
446,23
447,3
448,5
449,7
450,2
451,4
452,2
453,13
454,17
455,2
456,1
457,2
458,5
459,2
460,1
461,9
462,21
463,3
464,82
465,1
466,1
467,1
468,1
469,2
470,6
471,4
472,79
473,1
474,1
475,1
476,1
477,1
478,1
479,13
480,1
481,6
482,7
483,1
484,1
485,22
486,23
487,1
488,1
489,16
490,1
491,7
492,84
493,1
494,1
495,1
496,22
497,1
498,14
499,1
500,20
501,1
502,1
503,1
504,2
505,1
506,9
507,1
508,1
509,1
510,1
511,7
512,1
513,21
514,1
515,1
516,14
517,2
518,32
519,2
520,1
521,9
522,1
523,1
524,1
525,15
526,1
527,1
528,8
529,2
530,1
531,54
532,1
533,10
534,2
535,14
536,1
537,2
538,1
539,2
540,1
541,3
542,51
543,12
544,1
545,1
546,2
547,1
548,2
549,22
550,2
551,1
552,80
553,5
554,5
555,3
556,1
557,19
558,1
559,1
560,19
561,3
562,2
563,7
564,1
565,85
566,1
567,1
568,1
569,1
570,2
571,5
572,59
573,1
574,1
575,1
576,3
577,1
578,1
579,1
580,56
581,1
582,1
583,2
584,1
585,1
586,10
587,2
588,1
589,1
590,3
591,1
592,45
593,1
594,1
595,1
596,14
597,3
598,3
599,1
600,17
601,1
602,2
603,1
604,20
605,1
606,1
607,1
608,39
609,2
610,1
611,48
612,1
613,1
614,1
615,3
616,1
617,1
618,22
619,5
620,1
621,4
622,1
623,1
624,2
625,1
626,1
627,41
628,2
629,1
630,1
631,90
632,1
633,14
634,3
635,22
636,1
637,1
638,7
639,7
640,1
641,1
642,2
643,1
644,1
645,21
646,1
647,1
648,1
649,23
650,1
651,1
652,31
653,1
654,62
655,1
656,1
657,93
658,1
659,10
660,24
661,1
662,1
663,1
664,12
665,2
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,3
674,1
675,1
676,44
677,1
678,1
679,1
680,2
681,1
682,6
683,7
684,8
685,1
686,1
687,2
688,1
689,4
690,10
691,30
692,2
693,2
694,1
695,1
696,5
697,5
698,81
699,2
700,1
701,1
702,1
703,2
704,79
705,2
706,3
707,19
708,3
709,1
710,3
711,1
712,1
713,69
714,1
715,51
716,1
717,6
718,1
719,1
720,1
721,2
722,58
723,3
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,2
734,1
735,57
736,1
737,3
738,1
739,1
740,1
741,9
742,5
743,13
744,1
745,1
746,1
747,93
748,1
749,3
750,14
751,2
752,1
753,1
754,1
755,6
756,7
757,1
758,21
759,1
760,1
761,7
762,1
763,10
764,1
765,3
766,3
767,1
768,10
769,1
770,3
771,3
772,1
773,1
774,3
775,19
776,1
777,1
778,1
779,3
780,1
781,51
782,1
783,1
784,2
785,1
786,2
787,4
788,30
789,5
790,20
791,3
792,1
793,1
794,8
795,1
796,1
797,1
798,5
799,5
800,83
801,1
802,1
803,1
804,2
805,1
806,3
807,1
808,3
809,52
810,1
811,1
812,3
