id,ribotype
30,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
31,"['542', 'CloneB-14']"
32,"['012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '045', '063', '063', '063', '066', '066/2', '247', '247', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
33,"['012', '519', '519', 'StrainCD196', '176', 'CloneA-6', 'CloneB-12', 'CloneAT-11', 'CloneA-15']"
34,['StrainCD196']
35,"['027', '029', '029', '033', '063/1', '126', '247', '434', '441/3', '444', '484', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', '045/1', 'Strain027', 'AI5', 'CloneB-14', '078', 'CloneAT-16', 'CloneAT-3', 'CloneAT-17', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneB-11']"
36,"['434', '063', '444']"
37,"['519', '063', '444']"
38,['176']
39,"['012', '027', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '519', '519', '524', 'Strain630', '012', '012', '012', '029', '029', '033', '033', '033', '033', '045/1', '063', '063', '063', '063/1', '063/1', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '434', '441', '444', '444', '444', '519', '519', '519', '524', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
40,['029']
41,['542']
42,['StrainCD196']
43,"['012', '027', '029', '029', '247', '434', '434', '441/3', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '045/1', '063/1', '066', '066/2', '066', '078/4', '078ecdc', '126', '251', '251', '045/1', '078', '001', 'CloneA-15', 'CloneB-11']"
44,"['033', '063/1', '126', '444', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045', '063', '063', '063', '063/1', '066/2', '247', '247', '247', '247', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', 'Strain027', 'AI5', '176', 'CloneA-6', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
45,['176']
46,['CloneAT-16']
47,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
48,"['012', '012', '012', '012', '012', '012', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
49,['078']
50,['247']
51,['029']
52,['247']
53,"['247', '247']"
54,"['033', '063/1', '126']"
