id,ribotype
42,['StrainCD196']
43,"['029', '066', '078', 'CloneA-15', '078ecdc', '251', '063/1', '434', '012', '078/4', '441/3', '066/2', '524', '519', '484', '045/1', '001', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
44,"['176', '029', 'Strain027', 'CloneAT-3', 'AI-56', '063/1', '434', '444', '012', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
45,['176']
46,['CloneAT-16']
47,"['176', '029', '066', '078', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
48,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
49,['078']
50,['247']
51,['029']
52,['247']
53,['247']
54,"['063/1', '033', '126']"
55,"['029', '078', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
56,['027']
57,['066']
58,"['247', '441/3']"
59,"['176', '029', '066', '078', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
60,['247']
61,"['029', '066', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
62,['063/1']
63,['434']
64,['029']
65,['063/1']
66,"['CloneB-11', 'StrainCD196', '524', '441/3', '029', '484', '519', '001', '033', 'Strain630', '247', '434', '542', '444', '012', '027', 'CloneA-15', '126']"
67,"['029', 'CloneA-15', '063/1', '434', '444', '012', '441/3', '524', '519', '484', '001', '033', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
68,"['519', '066', '251', '045/1', 'CloneAT-7', '027', '063/1', '078', '542', '441', '012', '441/3', 'CloneA-6', '126']"
69,['484']
70,"['176', '029', 'Strain027', 'AI-56', '434', '444', '012', '519', '001', 'CloneAT-14', '063', 'Strain630', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneAT-11', 'CloneAT-8', 'CloneB-12']"
71,['029']
72,"['StrainCD196', '524', '519', '247', 'CloneAT-8', '542', '012', '441/3']"
73,"['CloneB-11', '484', '033', '247', '063/1', '434', '444', 'CloneA-15', '126']"
74,['StrainCD196']
75,['542']
76,"['176', '029', '066', '078', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
77,['StrainCD196']
78,['542']
79,['033']
80,"['StrainCD196', '524', '441/3', '029', '519', '001', 'Strain630', '434', '542', '012', '027']"
81,"['176', '029', '066', '078', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
82,['484']
83,['444']
84,"['444', '441/3']"
85,['063/1']
86,"['066/2', '066', '251', '045/1', '033', '078', '126', '078/4', '078ecdc']"
87,['StrainCD196']
88,['CloneAT-11']
89,"['176', 'StrainCD196', '519', 'CloneB-12', '012', 'CloneA-15']"
90,['029']
91,['029']
92,"['176', '029', '066', '078', 'Strain027', 'CloneB-14', 'AI-56', '251', '063/1', '434', '444', '012', '441/3', 'CloneA-6', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', 'Strain630', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', '126']"
