"accession","source_code","ribotype"
"SRR5410572","SRR",78
"SRR5410571","SRR",78
"SRR5410570","SRR",78
"SRR5410569","SRR",78
"SRR5410568","SRR",78
"SRR5410567","SRR",78
"SRR5410566","SRR",78
"SRR5410565","SRR",78
"SRR5410564","SRR",78
"SRR5410563","SRR",78
"SRR5410562","SRR",78
"SRR5410561","SRR",78
"SRR5410560","SRR",78
"SRR5410559","SRR",78
"SRR5410558","SRR",78
"SRR5410557","SRR",78
"SRR5410556","SRR",78
"SRR5410555","SRR",78
"SRR5410554","SRR",78
"SRR5410553","SRR",78
"SRR5410552","SRR",78
"SRR5410551","SRR",78
"SRR5410550","SRR",78
"SRR5410549","SRR",78
"SRR5410548","SRR",78
"SRR5410547","SRR",78
"SRR5410546","SRR",78
"SRR5410545","SRR",78
"SRR5410544","SRR",78
"SRR5410543","SRR",78
"SRR5410542","SRR",78
"SRR5410541","SRR",78
"SRR5410540","SRR",78
"SRR5410539","SRR",78
"SRR5410538","SRR",78
"SRR5410537","SRR",78
"SRR5410536","SRR",78
"SRR5410535","SRR",78
"SRR5410534","SRR",78
"SRR5410533","SRR",78
"SRR5410532","SRR",78
"SRR5410531","SRR",78
"SRR5410530","SRR",78
"SRR5410529","SRR",78
"SRR5410528","SRR",78
"SRR5410527","SRR",78
"SRR5410526","SRR",78
"SRR5410525","SRR",78
"SRR5410524","SRR",78
"SRR5410523","SRR",78
"SRR5410522","SRR",78
"SRR5410521","SRR",78
"SRR5410520","SRR",78
"SRR5410519","SRR",78
"SRR5410518","SRR",78
"SRR5410517","SRR",78
"SRR5410516","SRR",78
"SRR5410515","SRR",78
"SRR5410514","SRR",78
"SRR5410513","SRR",78
"SRR5410512","SRR",78
"SRR5410511","SRR",78
"SRR5410510","SRR",78
"SRR5410509","SRR",78
"SRR5410508","SRR",78
"SRR5410507","SRR",78
"SRR5410506","SRR",78
"SRR5410505","SRR",78
"SRR5410504","SRR",78
"SRR5410503","SRR",78
"SRR5410502","SRR",78
"SRR5410501","SRR",78
"SRR5410500","SRR",78
"SRR5410499","SRR",78
"SRR5410498","SRR",78
"SRR5410497","SRR",78
"SRR5410496","SRR",78
"SRR5410495","SRR",78
"SRR5410494","SRR",78
"SRR5410493","SRR",78
"SRR5410492","SRR",78
"SRR5410491","SRR",78
"SRR5410490","SRR",78
"SRR5410489","SRR",78
"SRR5410488","SRR",78
"SRR5410487","SRR",78
"SRR5410486","SRR",78
"SRR5410485","SRR",78
"SRR5410484","SRR",78
"SRR5410483","SRR",78
"SRR5410482","SRR",78
"SRR5410481","SRR",78
"SRR5410480","SRR",78
"SRR5410479","SRR",78
"SRR5410478","SRR",78
"SRR5410477","SRR",78
"SRR5410476","SRR",78
"SRR5410475","SRR",78
"SRR5410474","SRR",78
"SRR5410473","SRR",78
"ERR1910472","ERR",78
"ERR1910471","ERR",78
"ERR1910470","ERR",78
"ERR1910469","ERR",78
"ERR1910468","ERR",78
"ERR1910467","ERR",78
"ERR1910466","ERR",78
"SRR6042361","SRR",78
"SRR7309155","SRR",78
"SRR7309171","SRR",78
"SRR7309228","SRR",78
"SRR7308895","SRR",78
"SRR7308912","SRR",78
"SRR7308920","SRR",78
"SRR7308946","SRR",78
"SRR7309059","SRR",78
"SRR7309098","SRR",78
"SRR7308758","SRR",78
"SRR7308822","SRR",78
"ERR2232522","ERR",78
"ERR3473846","ERR",78
"ERR3473782","ERR",78
"ERR3473762","ERR",78
"ERR3473746","ERR",78
"ERR3465812","ERR",78
"ERR3465811","ERR",78
"ERR3465809","ERR",78
"ERR3465807","ERR",78
"ERR3465802","ERR",78
"ERR3465801","ERR",78
"ERR3465800","ERR",78
"ERR3465799","ERR",78
"ERR3465798","ERR",78
"ERR3465797","ERR",78
"ERR3465796","ERR",78
"ERR3465794","ERR",78
"ERR3465793","ERR",78
"ERR3465792","ERR",78
"ERR3465791","ERR",78
"ERR3465790","ERR",78
