,Unique,Overlap,All,ribotype
0,113,79,90,1
1,196,42,148,2
2,130,29,150,5
3,334,31,152,14
4,161,19,181,15
5,102,22,156,17
6,187,22,172,20
7,146,27,152,27
8,103,16,165,78
9,106,11,184,106
